"_id",uniqueStudentIdCount,uniqueClientIdsCount
oR17p5WN2ZOadxiKnPLqDS5EPwgA,13,1
oR17p5ZUZYqY8G-LXzvUEL-kiiGM,13,3
oR17p5c5QzNk_o6lL3YY7TGuKYm4,13,2
oR17p5agiEHgteKFbqwee2-ko-lA,13,2
oR17p5TNwU6n9l-pGMhfREO1Lux8,13,1
oR17p5YJqj72rS3mvjWo9uuXmM10,13,1
oR17p5SCFo1ayElX-UYeJvqUh7ms,13,1
oR17p5QfLK08JLXensdNLcpcn98g,13,1
oR17p5c1ZJAxfbaKen1KVw2DvnH4,13,2
oR17p5VB3Wk7YbapIy3DupRpGpas,13,3
oR17p5cv8BmiVANBvVyswmE8bS_A,13,4
oR17p5VYEeYSEF1xEdOWRjA615sM,13,1
oR17p5eJrHnBkj3M023PfKO2Hd48,13,2
oR17p5XZcGKgHJCU6lkxNuvssE2M,13,2
oR17p5ejI2gJvJt7TefbBRs43CCQ,13,3
oR17p5QZFMHQQ1Bkh3OvKj9VB34g,13,1
oR17p5foQ2PqzhclbPfVERm7GMZg,13,4
oR17p5ZfId7xHvMGGhf4BTs4L0Ac,13,1
oR17p5f1Bf4t0JU6IfYdZrBckYEM,13,2
oR17p5Q1PM0lkUv1fLuEjrxJeidk,13,1
oR17p5SqRkqVsc1DIvf5VY62vnJI,13,1
oR17p5S8Ih6m_9cMJU_eRL5EVymI,13,1
oR17p5dUXav-h0iiuY7m8q9GCbkk,13,1
oR17p5WBnCAYljiziqSaApA1X1Js,13,3
oR17p5f-Ju59lHWB6_b4re0X24oE,13,2
oR17p5U0PmT_rvLMgmt5l6OqlRs0,13,3
oR17p5UhiKRgezYAqsfzDw92tfII,13,3
oR17p5a3P2lNE-d6eFlwRgjyfsxM,13,1
oR17p5ZH9y4TmRJII4CfMQZxcbpQ,13,6
oR17p5dp2LCAjDxTVLszvHuG1vFk,13,1
oR17p5Tp7JN5law6dZeKiYvTONes,13,3
oR17p5X0uHPN_GqRiJFtgATr0vy4,13,4
oR17p5ZdOoifS_DMiH0wPFIYwEtI,13,1
oR17p5TE6kSPYa6RKr8zamlHqUZw,13,2
oR17p5WPCiAj4U-tG00qHee9jP_I,13,5
oR17p5ezZHdC8YkgpwZ88W5Qgzy4,13,4
oR17p5TqS3VsPh9MAPkv-NVrusSw,13,2
oR17p5ZUwDlsyK6oVzTdv0DeYpH4,13,5
oR17p5dyhvzPl8JRY66L2R8mA67M,13,1
oR17p5bNdIUkXN1-zTfEmWPaprUU,13,2
oR17p5YrbFT2qPiJFcGjF8cx9x2U,13,2
oR17p5U-kmcIXiuugkMIAtsFRKBY,13,1
oR17p5YWmSz9ZFMHQ_OloWtHRm1Y,13,1
oR17p5S5HXSrEzvB7BvHbCVR7SBk,13,2
oR17p5VSHqpsuN13-8ObIYx3qmwU,13,1
oR17p5WvvjcRGGtz6IMz0nZn5vUE,13,1
oR17p5XYb8PlODzIVJfNtx7fd9UY,13,1
oR17p5QvRGgkLIJ0W-jeD6lDBmjU,13,1
oR17p5Sq8qQD-Td0KkMdJZ6OKnw4,13,3
oR17p5VKWvwbZJmjGFcyQPLFZm1Q,13,1
oR17p5eg4XvvXyGFeBD_Fr5wFMp0,13,3
oR17p5W5fx534LRmD2MnCXuvV94Q,13,5
oR17p5TBe6q4hmq5Tna7cXlD8iwE,13,3
oR17p5aD54qtGySv60SCUeUfyZ0Y,13,4
oR17p5f1L6hLeymK4QgDoVGIp5Qs,12,1
oR17p5UCILSXhCyIBTvdIwD67T4s,12,2
oR17p5df4ItQenqQx71vrS2RjYrk,12,1
oR17p5bY7Ewr7K_F1O-IwhhWuSU8,12,1
oR17p5c5T2-5sEC4kk6ZZl06ZD9g,12,1
oR17p5Yje_xaClmuCD0y_CoAuDBk,12,1
oR17p5aTxepukbx44nzJtoq-StzQ,12,1
oR17p5QhgWX5sP00IY-xo0FdMi6I,12,2
oR17p5cvbkoBZAYGR39q99_KO5Ac,12,1
oR17p5YS59NMY0846lvYjkghMhmw,12,1
oR17p5YOH-2qq2Tql7Ory_bRdMpw,12,2
oR17p5bvbI71aVWlUgKFlpdmWmYQ,12,5
oR17p5VCJ8_CAa2Ixr0xVkmwqKZ0,12,1
oR17p5brqxvQD4lUSNa3rd-eYKyA,12,4
oR17p5aYnC4xKgZdjFwts-RBKzFI,12,1
oR17p5dLyoTRbP4z2bVycJIkcPeY,12,3
oR17p5Z-qAt__yVChJFSRtNnddEI,12,1
oR17p5dF7bXBawdBY9aS4ixwiPdE,12,3
oR17p5a5Bl_V7MocE-fHyNjK9fws,12,1
oR17p5Yl30xu-tkVGRb_0vGl10N8,12,2
oR17p5Wtnf_QcPFrk5kjyw2vl-4A,12,4
oR17p5R0-RBAk0Bvpo8ch6LpuniQ,12,2
oR17p5WPs2OHkkVa1VovuiQoaoNo,12,3
oR17p5Znsly98yRpGAKkaUCe31cQ,12,1
oR17p5VSCeUZfU-ExOrIwKoTu5-A,12,3
oR17p5QMq5fuOdBmxsgq3W4Pu-JE,12,1
oR17p5TQ7kw5AN2HMHqn-YfYx-PA,12,4
oR17p5Wi59zEt5la-3O4W2u2Yzgw,12,1
oR17p5bQ4-Dp7Z9EHD0V3o0eVLPo,12,1
oR17p5YRDDRKbFDEeFj06329HGm4,12,5
oR17p5UPbWW-rlaVI0UOcCSrZNBY,12,6
oR17p5dgM9zDFG7oBpiU2J3mlTjc,12,4
oR17p5WTCJB6_tsE2gvF35VVIPEo,12,2
oR17p5d6HXdp-9rjv2KD_MQcL9M0,12,2
oR17p5ceG1UxjfnAwU-HVlWOLUfQ,12,4
oR17p5Z9sUBUM_B7sg6E1Gx-uL7g,12,3
oR17p5ZtkPwUDDJ--Niyy0-f5MnY,12,3
oR17p5Q1wQAVrtcowD5m0m-pe7HM,12,1
oR17p5Zqt7pkNNdWSOgPMsHPYxFc,12,6
oR17p5XZTRP8GEfnugtmD0EsY6pc,12,2
oR17p5XarXUorR5O8a4B3fmU_4tE,12,2
oR17p5dcPv61l0fLK4ovnv-4QQn8,12,1
oR17p5Udma_4lAHhJW2yUPKdNL9Q,12,1
oR17p5fGw5GVdwZsw2XU3byKFPJQ,12,2
oR17p5VmmnjJWDz7_Yo9RXpGzCLw,12,1
oR17p5WOpu9YLvg7CeK_xFaFN65M,12,3
oR17p5fBie1Y8Kd-tu9UhdaPWB1I,12,1
oR17p5XM9fEJpeCuxylqC_16o4Nw,12,2
oR17p5YlMAud4l-l0HM0IuLViTnA,12,3
oR17p5TmjejmA0GxIHZN6-Knz4VM,12,1
oR17p5d28SxC2H_gSzP9_PgrPNIk,12,3
oR17p5Y8Awg5HR9n0dwraLuOOHdE,12,1
oR17p5ZsNBxZoCu2qtDZNTW0JTyo,12,2
oR17p5cF9D8eiz-TsVFCEttBWojc,12,2
oR17p5Yx2qF9gU18ow0G8vDPGDLs,12,1
oR17p5VqiQEWP9irdS3XpYFRo0e0,12,1
oR17p5RHHQ1XLED0K5KoOVHOETk0,12,2
oR17p5UC9ZU_IltvLUvfJGc5-4qE,12,1
oR17p5Tng55VUU9eAJgRNRCuPQDA,12,3
oR17p5fh3-y4NorvFroaJ8hKHtqQ,12,1
oR17p5cMlN0Zc5M45CiSvqj3BhFw,12,3
oR17p5Vwt7piEfjkoE5Z1iYO3sRk,12,1
oR17p5SqcNWYrE3TqYYCXxA5TCFw,12,3
oR17p5at2666L31cZLrzq5oOierI,12,4
oR17p5aPAMMacMexP8TEIwduWTdk,12,3
oR17p5aD5vpcsIa-CowSRIuwJK40,11,2
oR17p5QoxDK3cOsUZjuykt5TjXfI,11,1
oR17p5S7pu17HMviW-NKtSIBJsuI,11,4
oR17p5SRqIFONRe6VcImUgaBaM4Y,11,5
oR17p5RZiLIc6ulkf70oufVN7WrY,11,2
oR17p5SUxfvWDwQ_2EpeHhyztS0I,11,2
oR17p5aYrVXJLlahFVW9lydlX66s,11,2
oR17p5Rk60f7qK_mhPXjzbULaMU4,11,4
oR17p5XG9V6b2KSyzfKmBVpgdp-s,11,1
oR17p5Rqo7fb9mpFAQR5i3_-FsrQ,11,3
oR17p5SmBbL_rqZGjwC2kBQqL3GU,11,2
oR17p5WTFr-5A2ts9lc0QYUxXxGA,11,3
oR17p5TU9EJyjtOj_R4tEv0eEoLE,11,2
oR17p5auFP9ZyjIBE0aZNfKJRIZ4,11,3
oR17p5ZulQrdC_tKhWz6L0Hg3P3I,11,1
oR17p5S-QOQmw0f-MgRFaePxqM0k,11,1
oR17p5fCp41xC_u13tAlpWuqkWp8,11,2
oR17p5YiYQfip-78YJeQRRfTNack,11,2
oR17p5cqESOf4j3TtX9uKjVCWk8w,11,3
oR17p5arNDJQuT_VeIFfKbnx3lnE,11,2
oR17p5UHaHHtuuKJuAOb5Sf_O5bM,11,2
oR17p5ei7DcA4v8XYF4rYdgqnY5k,11,1
oR17p5WMMCIYhs0gfBJbycrd2Gn8,11,2
oR17p5Q5JiSucX7LSkXruSjBVo2M,11,2
oR17p5Xdw12yxWJe22Yupfm_HhzA,11,4
oR17p5fMt-00m8vvEicdHsmhUHKg,11,1
oR17p5aNwyZru_3y_IUqsBE0sTsk,11,1
oR17p5RafG2DYpsPIWnOjsT0bLio,11,1
oR17p5YVL4i0dNOWKtsAWuSUoxrE,11,1
oR17p5QJfWEqRnWAxitNrWwGXLIk,11,4
oR17p5WiBFKG-9w4YBmQpln7D4Co,11,5
oR17p5aWjzUUvrK_z9D6BBY-4U58,11,2
oR17p5RnR3Mw6xCh0cK2fCp00h-I,11,4
oR17p5UbCDKCTcneV4zqJxZAtVIE,11,1
oR17p5f4XQbXTKE2xbL6IdYCstww,11,4
oR17p5Sxy5Kgx-tsX3cVTX3YdcRE,11,2
oR17p5W2CfqkKc4dv08PkI7dRjj4,11,3
oR17p5VFL7V4prWZVnBuvw89dfj0,11,3
oR17p5U54yOCETVPH1ol_hwCGi40,11,2
oR17p5SMfA0HSwWJpyCSeYGr_p98,11,3
oR17p5ejjVjCN-Cd_BR_WECoIEPQ,11,3
oR17p5c3bAhPIr71irhFDiB2dOec,11,1
oR17p5V7te4FgALFCvpUGEFy7hk8,11,1
oR17p5SXeMPVoHdoVYIqQRxPcjMc,11,1
oR17p5QKZwL7-6ZoYnAgyYojiBAU,11,3
oR17p5Uy1rk7ANPqbC-oNqqivzz4,11,1
oR17p5ZrfzQcBzMr0Z5Ze1s7b2UI,11,1
oR17p5ZZ2cfEWVPJJW2UsnA20g-A,11,3
oR17p5dnKu3OE4cZ-0mU9XD_liWk,11,1
oR17p5cXm90nACXUp7HPfgSAWaaI,11,4
oR17p5eCiqO1wA1NYmi7wAz1y_IU,11,1
oR17p5VjWbcpGjAJgvSdPARAoHww,11,1
oR17p5TthXaX3qjqy2NLQhqbVzYI,11,1
oR17p5XXgRl69vhCNrS2ktmRl9lw,11,5
oR17p5S-3_ajXJjX9B_JzxwgNnHk,11,3
oR17p5UnA0t2Lj9vXWocQ2tFthmk,11,1
oR17p5QOe5MnVamaADtoLgC5hEiA,11,3
oR17p5aS9kBH2ip44cmffkIU5F4c,11,3
oR17p5f9WMs_AueGSMCTE4ZUXQVg,11,4
oR17p5ZRzczXxVDn0CiOfaeFQQ8g,11,4
oR17p5UFrYbg6Q6DZ1FePa2UoWmQ,11,1
oR17p5SXRqnqhwibT3zPF97MqHpQ,11,2
oR17p5Ydq5LEO5HFycSXWRv_ulIo,11,3
oR17p5W_Fh9CIHri7BZN0DU3u1D8,11,1
oR17p5XM91Xo7z1NQI99SQq6JqJ0,11,2
oR17p5VDPp0uMRZ_n0nydPRMOymU,11,5
oR17p5XaTOMf-UYCGtZptW7DxLxI,11,4
oR17p5QsOmVBTeUIy5xeopSuJl30,11,1
oR17p5b3H5fNuH0ss8IboJ3QCYN0,11,3
oR17p5Qvx5PLqeif_7Jz_6ASkcMg,11,1
oR17p5S2xgC_Fy-pE3kLNloyNOh0,11,2
oR17p5a48QnZpJm5pGi4N2VwilE8,11,1
oR17p5Y4CmPSqeSBDxNrN9kga2Po,11,3
oR17p5c2iqehWU8M9aJ0VhjzjTzo,11,1
oR17p5REvM9B0dZQ519fXDwyJVAY,11,1
oR17p5eKnPgGyPdY0JdCz6XgodRo,11,4
oR17p5aI-aC6CtiZdIa9jliLRD1k,11,3
oR17p5ULFy2SUJg30ueIscqc-nHI,11,1
oR17p5STRsmmTaGYZ1CrTnNUMwSQ,11,3
oR17p5dlBRIHvXrIAxX-Wrjc7ZdY,11,1
oR17p5UFYFRXnpwwCMVcyQFBkAzI,11,4
oR17p5Qv2pRI94_wGQ82Pb11JA7I,11,1
oR17p5RbX7ODR146BsHGMEJDazKI,11,1
oR17p5Vz08hLKRL-Mb6VutAms_BI,11,4
oR17p5Uv98pPxXWW-6oDshRdrtxM,11,3
oR17p5bY1gdHW4e7tlcIxKgTbwIk,11,2
oR17p5SdVv2-IOpJM967JpOG0IcE,11,2
oR17p5ZdasZMW_w1fPb20zIMSsGo,11,5
oR17p5YDiJnu88krX0qVs_rDC_e0,11,1
oR17p5Y4dQFPg8dxn341quZDJ_tw,11,4
oR17p5X2QC3MsJ9EHfqDpZz74X60,11,5
oR17p5YzRmAmO6d0Xor_0X-zVHeo,11,1
oR17p5fFU1h0OlDOIeTsqFmUlZ48,11,1
oR17p5QKYq2mKf449xTUQ8X61K4Y,11,1
oR17p5Uc7QXAVstsJXidnjEIJZ5o,11,1
oR17p5aM3pLJypT4pwlZvL4popCg,11,1
oR17p5ZSuIFZn4FO0Cs_JQgS-PDA,11,1
oR17p5YrFJmqBOaQlzHylIiXdmSk,11,2
oR17p5e56tpTzD5tKitzOtWDOMns,11,1
oR17p5SeWFKAIT64fX9Gy2vO-F-0,11,2
oR17p5UYMUtVM8Uy98n0jcGf0oTY,11,2
oR17p5RlGIhRecM7p-IkiKKCRcMk,11,3
oR17p5TPtU2Ne86zIkZh9El1jKBY,11,4
oR17p5RPqBX9lcpHhxXwseK6KXOM,11,5
oR17p5SU4TdKwuyoMvSAB_skPr0Q,11,2
oR17p5blj4kLXzb6PA5kH3bb7Cok,11,2
oR17p5VAUDmt-W8hVP1S3gIzG9V8,11,3
oR17p5Xnbl6s7TRd5-MS3lg0POMY,11,4
oR17p5Tz05IGXn0ZUkRqDKbyjUqc,11,2
oR17p5WCQRQZ0TYK0x7zs-Kfjd9U,10,3
oR17p5Qd4yKglhgIVav-E9QQUlgU,10,3
oR17p5c0nune0QcdXsQ4A_fx5THM,10,1
oR17p5eNauaDqLkJgx-i6h2dFYXo,10,3
oR17p5ZYF6lpCCWSJfpOZkVdya3s,10,1
oR17p5Y9oQzOxZ19AfwANYmXQmhE,10,4
oR17p5QxmFvDD_dDOh3uSejthcSY,10,1
oR17p5e-d5F1DQIWRVEjI5xqI0UQ,10,5
oR17p5cgxC8X12bB5vY9xVQ0XXyQ,10,3
oR17p5dDDhTZ_A8Pi7GWh5tmXiH4,10,1
oR17p5UJIWUFwrNuNeFtIfvP86cs,10,5
oR17p5VYLiGTKPNsH1B-YcgwOrSk,10,6
oR17p5ZtL7oFMhnypdrxtRDmg_L0,10,1
oR17p5ZfWtJyg-R_sWaPXN6PCVbw,10,1
oR17p5dZLLBKFS7WDw5Gnd3np_dQ,10,3
oR17p5R5kWZx6DwxNUeSmRufWTnE,10,1
oR17p5QZnX9D7xyJP5i0t9ZN8p0Q,10,3
oR17p5dprL3BexqMzC6C81P1oRoI,10,2
oR17p5UccGRgSOtX8KJVtaXsH1BU,10,2
oR17p5VbG4qZGOODnL5mfa18rPpU,10,1
oR17p5a8jOjVvAV0PLptXHPuHiuY,10,4
oR17p5UE0VSfr1Z1KpkIqUeHp6xk,10,2
oR17p5U7-7IPOZWK3HkWdte0NMys,10,1
oR17p5ajxuoaHrSyHgY8TPe0IPO0,10,1
oR17p5VAuuPER70c5aA1L4I8FKwQ,10,3
oR17p5Q2CObH4CPSz9GqTRX2x1Xk,10,3
oR17p5VfI3glklEeynBVOYxSG8Ic,10,1
oR17p5Sxcu352tONE082VOhs7ht4,10,1
oR17p5aswPWlTUr_aaGqGV85KkmE,10,1
oR17p5VLhosa03tBFEZhblBE8Xhk,10,1
oR17p5b7hRKGCgNRgNDZrS5PAbPo,10,1
oR17p5cyCax-uZLGeL6qDyEQmw2g,10,2
oR17p5R55B0bGKU7gliomdHAqirw,10,3
oR17p5dDBidxjK_I3o3571aUps0o,10,1
oR17p5XnibD7XnbInBE55_BgrcXA,10,5
oR17p5TZoRvZpFPu9TUv9e9Mbl8s,10,1
oR17p5RDoAiWz4XVrQcJ2f_U9G20,10,3
oR17p5VDte2hF8JfUIslHa3GToK0,10,1
oR17p5SFDeIgQRN35vB1zm6KDj2k,10,1
oR17p5SC8SGtKacQP7ZsaMuS5AAE,10,2
oR17p5WHBrwWZp-kjeNRWkGhk4G8,10,1
oR17p5WxyhprhUknrXu0RqxTrYr8,10,3
oR17p5eGDL1uTTGB9_ntR58gepPs,10,1
oR17p5U1zLFO9d4VAcGuFSEO67EI,10,1
oR17p5Qcxcizjp2spt48RfYg7bGs,10,2
oR17p5ZPHhoDAHVGbngG4MNTTC68,10,2
oR17p5bj1DU9eRvFUKIbwVB2uZZg,10,1
oR17p5Rapm4cMx7MTA8QuWJ7Zrhg,10,1
oR17p5WPpTrtNFZ_TEOjh6WR9Uks,10,1
oR17p5bfvVmXymA2kVdw70OW95_o,10,3
oR17p5S9JXZqQv6K3YzupK8BrRuo,10,4
oR17p5Vo-7ycVhvUsYCtYSf5gCsE,10,1
oR17p5WZRavHjdjhp2QlW5VAZrtE,10,5
oR17p5X5KED0BQtFSmG93DBGTwqQ,10,1
oR17p5aR8JStyJsA5fsY78h2CDz8,10,1
oR17p5R6mhe5t9Ky-5pxtnZ956Tk,10,1
oR17p5XgRzaVlf4nXfadiD6hyAFo,10,1
oR17p5UtmBQHYeJudKNJUlYo5-jw,10,1
oR17p5bFQIpWe0lYZqrIYVC5hSXI,10,4
oR17p5YnMRmyxTLxK69_-uSairFk,10,2
oR17p5e9_kcBX6nNd0gtiZGG6HyY,10,2
oR17p5VZ4swTdOgc3nRJcTz4kjLc,10,1
oR17p5aAsH-iGxWktB8m2Wl1eDDM,10,2
oR17p5WQy0TP3u0YvuIInmQfZzNA,10,5
oR17p5ZZxajhlZZ85zb--dh4RwU0,10,1
oR17p5ZcUztedxuWb73R-fQCQDkI,10,2
oR17p5cW-A3HwkgplkIzDV-4Iw9g,10,3
oR17p5Q5EQ5KZ_FpBFZI6c_VocWE,10,1
oR17p5QnDd7rORAaie2D9no5Ca8s,10,4
oR17p5fPSE-Ab4qRGMRod1DyJ6aA,10,1
oR17p5TTZ9kJEg5cXuq3jqn_dUBY,10,1
oR17p5WTagzQFq-0RWDuoUO-55K4,10,1
oR17p5SRBPjJiaA4_T1ALNs3yLt8,10,1
oR17p5dgpME5kCKfSXHAlRqHxcKk,10,2
oR17p5X4G8FV_xNKQ5EWzx1MqLgk,10,2
